finding_id,asset_id,finding_type,asset_class,detection_source,risk_zone,priority,severity,status,disposition,filed_month,age_days,days_to_deadline,deadline_bucket,est_repair_cost,detection_confidence
FND-8001,AST-402,vegetation_encroachment,pole,lidar,hftd_tier3,immediate,high,closed,dispatch_immediate_repair,2026-03,21,0,closed,5200.00,0.93
FND-8002,AST-413,equipment_damage,transformer,foot_patrol,standard,scheduled,medium,closed,schedule_planned_work,2026-03,34,0,closed,8900.00,0.97
FND-8003,AST-403,equipment_damage,conductor,drone_ai,hftd_tier3,scheduled,medium,closed,close_false_detection,2026-03,11,0,closed,0.00,0.55
FND-8004,AST-416,thermal_hotspot,substation_component,infrared,standard,immediate,high,closed,dispatch_immediate_repair,2026-03,7,0,closed,15400.00,0.95
FND-8005,AST-428,leak_indication,regulator_station,foot_patrol,hftd_tier2,immediate,high,closed,dispatch_immediate_repair,2026-03,2,0,closed,22300.00,0.98
FND-8006,AST-409,vegetation_encroachment,conductor,foot_patrol,hftd_tier2,scheduled,medium,closed,schedule_planned_work,2026-04,26,0,closed,3400.00,0.90
FND-8007,AST-421,equipment_damage,pole,drone_ai,standard,scheduled,low,closed,close_false_detection,2026-04,9,0,closed,0.00,0.52
FND-8008,AST-419,corrosion,transformer,foot_patrol,hftd_tier2,scheduled,medium,closed,schedule_planned_work,2026-04,41,0,closed,11700.00,0.92
FND-8009,AST-424,hardware_wear,conductor,drone_ai,hftd_tier3,scheduled,medium,closed,request_field_verification,2026-04,18,0,closed,6100.00,0.71
FND-8010,AST-405,thermal_hotspot,conductor,infrared,hftd_tier3,monitor,low,closed,close_monitored_stable,2026-04,15,0,closed,0.00,0.77
FND-8011,AST-412,hardware_wear,substation_component,foot_patrol,hftd_tier2,monitor,low,closed,close_monitored_stable,2026-04,23,0,closed,0.00,0.86
FND-8012,AST-423,equipment_damage,pole,customer_report,hftd_tier3,immediate,high,closed,dispatch_immediate_repair,2026-04,1,0,closed,9800.00,0.99
FND-8013,AST-418,thermal_hotspot,conductor,drone_ai,hftd_tier2,scheduled,medium,closed,close_false_detection,2026-05,8,0,closed,0.00,0.61
FND-8014,AST-401,vegetation_encroachment,transformer,lidar,hftd_tier3,immediate,high,closed,dispatch_immediate_repair,2026-05,4,0,closed,4700.00,0.94
FND-8015,AST-429,leak_indication,pipeline_segment,customer_report,standard,scheduled,medium,closed,request_field_verification,2026-05,13,0,closed,2500.00,0.66
FND-8016,AST-406,hardware_wear,pole,foot_patrol,hftd_tier3,monitor,low,closed,close_monitored_stable,2026-05,29,0,closed,0.00,0.90
FND-8017,AST-417,thermal_hotspot,pole,infrared,standard,scheduled,low,closed,close_false_detection,2026-05,6,0,closed,0.00,0.57
FND-8018,AST-410,vegetation_encroachment,transformer,drone_ai,hftd_tier2,scheduled,medium,closed,schedule_planned_work,2026-06,10,0,closed,2900.00,0.88
FND-8019,AST-427,corrosion,pipeline_segment,foot_patrol,hftd_tier2,scheduled,medium,closed,request_field_verification,2026-06,16,0,closed,5400.00,0.74
FND-8020,AST-426,equipment_damage,transformer,drone_ai,hftd_tier2,scheduled,medium,closed,schedule_planned_work,2026-06,7,0,closed,7300.00,0.83
FND-9001,AST-422,thermal_hotspot,transformer,drone_ai,hftd_tier3,immediate,high,open,pending,2026-06,3,2,0_3_days,18500.00,0.94
FND-9002,AST-414,equipment_damage,pole,drone_ai,standard,scheduled,medium,open,pending,2026-06,5,12,4_14_days,4200.00,0.58
FND-9003,AST-429,leak_indication,pipeline_segment,foot_patrol,standard,scheduled,medium,open,pending,2026-06,9,21,over_14_days,9600.00,0.88
FND-9004,AST-408,vegetation_encroachment,pole,lidar,hftd_tier2,immediate,high,open,pending,2026-06,4,3,0_3_days,7500.00,0.91
FND-9005,AST-427,corrosion,pipeline_segment,foot_patrol,hftd_tier2,scheduled,medium,open,pending,2026-06,12,30,over_14_days,46000.00,0.90
FND-9006,AST-405,thermal_hotspot,conductor,infrared,hftd_tier3,immediate,high,open,pending,2026-06,2,3,0_3_days,12800.00,0.89
